"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies userId filter returns the correct count (20) and every item belongs to user 1","89","GET /todos?userId=1 returns exactly 20 todos all owned by user 1","","2026-05-29","passed","2026-05-29","","com.amali.api.TodosTest","com.amali.api.TodosTest","getTodosByUserIdFilter"
"Verifies that the path parameter ID takes precedence and the response id matches the path, not the body","85","PUT /posts/1 with mismatched ID in body still uses path ID","","2026-05-29","passed","2026-05-29","","com.amali.api.PutRequestTest","com.amali.api.PutRequestTest","updatePostIdMatchesPath"
"Verifies the API accepts a minimal payload and still assigns an id in the response","148","POST /posts with partial payload still returns 201 with an ID","","2026-05-29","passed","2026-05-29","","com.amali.api.PostRequestTest","com.amali.api.PostRequestTest","createPostWithPartialPayload"
"Verifies that ID 0 (no post has id=0) returns HTTP 404","60","GET /posts/0 returns 404 — invalid lower boundary","","2026-05-29","passed","2026-05-29","","com.amali.api.GetRequestTest","com.amali.api.GetRequestTest","getZeroIdReturns404"
"Verifies that a completely out-of-range ID returns HTTP 404","75","GET /posts/99999 returns 404 — far out-of-range ID","","2026-05-29","passed","2026-05-29","","com.amali.api.GetRequestTest","com.amali.api.GetRequestTest","getNonExistentPostReturns404"
"Verifies that ID 501, one above the last seeded comment, returns HTTP 404","136","GET /comments/501 returns 404 — first ID over boundary","","2026-05-29","passed","2026-05-29","","com.amali.api.CommentsTest","com.amali.api.CommentsTest","getCommentOverBoundaryReturns404"
"Verifies the full photo dataset is returned with the correct count of 5000 items","2025","GET /photos returns 200 with exactly 5000 photos","","2026-05-29","passed","2026-05-29","","com.amali.api.PhotosTest","com.amali.api.PhotosTest","getAllPhotosReturns200"
"Verifies that ID 201, one above the last seeded todo, returns HTTP 404","142","GET /todos/201 returns 404 — first ID over boundary","","2026-05-29","passed","2026-05-29","","com.amali.api.TodosTest","com.amali.api.TodosTest","getTodoOverBoundaryReturns404"
"Verifies the full user dataset is returned with correct count and non-empty fields on the first item","104","GET /users returns 200 with exactly 10 users","","2026-05-29","passed","2026-05-29","","com.amali.api.UsersTest","com.amali.api.UsersTest","getAllUsersReturns200"
"Verifies the last valid post ID (100) returns HTTP 200 with a well-formed response","100","GET /posts/100 returns 200 — upper boundary valid ID","","2026-05-29","passed","2026-05-29","","com.amali.api.GetRequestTest","com.amali.api.GetRequestTest","getLastValidPostReturns200"
"Verifies the full album dataset is returned with the correct count of 100 items","180","GET /albums returns 200 with exactly 100 albums","","2026-05-29","passed","2026-05-29","","com.amali.api.AlbumsTest","com.amali.api.AlbumsTest","getAllAlbumsReturns200"
"Verifies fields, JSON schema validation, and response time for a single post","106","GET /posts/1 returns correct post, passes schema, responds within 3s","","2026-05-29","passed","2026-05-29","","com.amali.api.GetRequestTest","com.amali.api.GetRequestTest","getSinglePostReturns200"
"Verifies userId filter returns the correct count (10) and every item belongs to the requested user","75","GET /posts?userId=1 returns exactly 10 posts all owned by user 1","","2026-05-29","passed","2026-05-29","","com.amali.api.GetRequestTest","com.amali.api.GetRequestTest","getPostsByUserIdFilter"
"Verifies fields, that completed is a boolean type, JSON schema, and response time","127","GET /todos/1 returns correct todo, completed is boolean, passes schema","","2026-05-29","passed","2026-05-29","","com.amali.api.TodosTest","com.amali.api.TodosTest","getSingleTodoReturns200"
"Verifies 200 status, empty JSON object body, Content-Type header, and response time on delete","85","DELETE /posts/1 returns 200 with empty JSON body and correct headers","","2026-05-29","passed","2026-05-29","","com.amali.api.DeleteRequestTest","com.amali.api.DeleteRequestTest","deletePostReturns200"
"Verifies the API handles an empty JSON object and still returns 201 with a simulated id","93","POST /posts with empty body returns 201 with an ID","","2026-05-29","passed","2026-05-29","","com.amali.api.PostRequestTest","com.amali.api.PostRequestTest","createPostWithEmptyBodyReturns201"
"Verifies all album fields, JSON schema validation, and response time","94","GET /albums/1 returns correct album, passes schema, responds within 3s","","2026-05-29","passed","2026-05-29","","com.amali.api.AlbumsTest","com.amali.api.AlbumsTest","getSingleAlbumReturns200"
"Verifies 200 status, full echoed payload, Content-Type header, and response time on a full update","181","PUT /posts/1 updates a post, echoes payload, returns 200 with correct headers","","2026-05-29","passed","2026-05-29","","com.amali.api.PutRequestTest","com.amali.api.PutRequestTest","updatePostReturns200"
"Verifies all top-level and nested fields (address, geo, company) and JSON schema validation","161","GET /users/1 returns correct user with nested address and company, passes schema","","2026-05-29","passed","2026-05-29","","com.amali.api.UsersTest","com.amali.api.UsersTest","getSingleUserReturns200"
"Verifies all photo fields including both URL fields, JSON schema, and response time","731","GET /photos/1 returns correct photo with url and thumbnailUrl, passes schema","","2026-05-29","passed","2026-05-29","","com.amali.api.PhotosTest","com.amali.api.PhotosTest","getSinglePhotoReturns200"
"Verifies that the completed filter returns results where every item has completed=true","134","GET /todos?completed=true returns only completed todos","","2026-05-29","passed","2026-05-29","","com.amali.api.TodosTest","com.amali.api.TodosTest","getCompletedTodosFilter"
"Verifies the full comment dataset is returned with the correct count of 500 items","328","GET /comments returns 200 with exactly 500 comments","","2026-05-29","passed","2026-05-29","","com.amali.api.CommentsTest","com.amali.api.CommentsTest","getAllCommentsReturns200"
"Verifies the last seeded user (id=10) returns HTTP 200","73","GET /users/10 returns 200 — upper boundary valid ID","","2026-05-29","passed","2026-05-29","","com.amali.api.UsersTest","com.amali.api.UsersTest","getLastValidUserReturns200"
"Verifies the full todo dataset is returned with the correct count of 200 items","184","GET /todos returns 200 with exactly 200 todos","","2026-05-29","passed","2026-05-29","","com.amali.api.TodosTest","com.amali.api.TodosTest","getAllTodosReturns200"
"Verifies 201 status, echoed payload fields, assigned id=101, and Content-Type header","156","POST /posts creates a new post and returns 201","","2026-05-29","passed","2026-05-29","","com.amali.api.PostRequestTest","com.amali.api.PostRequestTest","createPostReturns201"
"Verifies userId filter returns exactly 10 albums and every item belongs to user 1","70","GET /albums?userId=1 returns exactly 10 albums all owned by user 1","","2026-05-29","passed","2026-05-29","","com.amali.api.AlbumsTest","com.amali.api.AlbumsTest","getAlbumsByUserIdFilter"
"Verifies status code, Content-Type, charset, and that the full dataset of 100 posts is returned","133","GET /posts returns 200 with exactly 100 posts","","2026-05-29","passed","2026-05-29","","com.amali.api.GetRequestTest","com.amali.api.GetRequestTest","getAllPostsReturns200"
"Verifies albumId filter returns exactly 50 photos and every item has albumId=1","114","GET /photos?albumId=1 returns exactly 50 photos all belonging to album 1","","2026-05-29","passed","2026-05-29","","com.amali.api.PhotosTest","com.amali.api.PhotosTest","getPhotosByAlbumIdFilter"
"Verifies that Access-Control-Allow-Credentials and X-Content-Type-Options headers are present","94","GET /posts response includes CORS and security headers","","2026-05-29","passed","2026-05-29","","com.amali.api.GetRequestTest","com.amali.api.GetRequestTest","getAllPostsHasSecurityHeaders"
"Verifies that the DELETE response carries the Access-Control-Allow-Credentials header","74","DELETE /posts/1 response includes CORS header","","2026-05-29","passed","2026-05-29","","com.amali.api.DeleteRequestTest","com.amali.api.DeleteRequestTest","deletePostHasCorsHeader"
"Verifies that PATCH merges the supplied title while keeping the original id and body fields intact","161","PATCH /posts/1 updates only the supplied field, preserves others","","2026-05-29","passed","2026-05-29","","com.amali.api.PutRequestTest","com.amali.api.PutRequestTest","patchPostReturns200"
"Verifies that ID 11, one above the last seeded user, returns HTTP 404","56","GET /users/11 returns 404 — first ID over boundary","","2026-05-29","passed","2026-05-29","","com.amali.api.UsersTest","com.amali.api.UsersTest","getUserOverBoundaryReturns404"
