"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that a completely out-of-range ID returns HTTP 404","1800","GET /posts/99999 returns 404 — far out-of-range ID","","2026-05-29","passed","2026-05-29","","com.amali.api.GetRequestTest","com.amali.api.GetRequestTest","getNonExistentPostReturns404"
"Verifies that ID 0 (no post has id=0) returns HTTP 404","58","GET /posts/0 returns 404 — invalid lower boundary","","2026-05-29","passed","2026-05-29","","com.amali.api.GetRequestTest","com.amali.api.GetRequestTest","getZeroIdReturns404"
"Verifies 200 status, full echoed payload, Content-Type header, and response time on a full update","139","PUT /posts/1 updates a post, echoes payload, returns 200 with correct headers","","2026-05-29","passed","2026-05-29","","com.amali.api.PutRequestTest","com.amali.api.PutRequestTest","updatePostReturns200"
"Verifies the last valid post ID (100) returns HTTP 200 with a well-formed response","1307","GET /posts/100 returns 200 — upper boundary valid ID","","2026-05-29","passed","2026-05-29","","com.amali.api.GetRequestTest","com.amali.api.GetRequestTest","getLastValidPostReturns200"
"Verifies 200 status, empty JSON object body, Content-Type header, and response time on delete","80","DELETE /posts/1 returns 200 with empty JSON body and correct headers","","2026-05-29","passed","2026-05-29","","com.amali.api.DeleteRequestTest","com.amali.api.DeleteRequestTest","deletePostReturns200"
"Verifies userId filter returns the correct count (10) and every item belongs to the requested user","90","GET /posts?userId=1 returns exactly 10 posts all owned by user 1","","2026-05-29","passed","2026-05-29","","com.amali.api.GetRequestTest","com.amali.api.GetRequestTest","getPostsByUserIdFilter"
"Verifies the API handles an empty JSON object and still returns 201 with a simulated id","67","POST /posts with empty body returns 201 with an ID","","2026-05-29","passed","2026-05-29","","com.amali.api.PostRequestTest","com.amali.api.PostRequestTest","createPostWithEmptyBodyReturns201"
"Verifies that ID 101, one above the last seeded post, returns HTTP 404","55","GET /posts/101 returns 404 — first ID over upper boundary","","2026-05-29","passed","2026-05-29","","com.amali.api.GetRequestTest","com.amali.api.GetRequestTest","getFirstOverBoundaryReturns404"
"Verifies fields, JSON schema validation, and response time for a single post","121","GET /posts/1 returns correct post, passes schema, responds within 3s","","2026-05-29","passed","2026-05-29","","com.amali.api.GetRequestTest","com.amali.api.GetRequestTest","getSinglePostReturns200"
"Verifies that the POST endpoint meets a 3-second response time threshold","51","POST /posts responds within 3 seconds","","2026-05-29","passed","2026-05-29","","com.amali.api.PostRequestTest","com.amali.api.PostRequestTest","createPostResponseTimeIsAcceptable"
"Verifies the API accepts a minimal payload and still assigns an id in the response","87","POST /posts with partial payload still returns 201 with an ID","","2026-05-29","passed","2026-05-29","","com.amali.api.PostRequestTest","com.amali.api.PostRequestTest","createPostWithPartialPayload"
"Verifies status code, Content-Type, charset, and that the full dataset of 100 posts is returned","229","GET /posts returns 200 with exactly 100 posts","","2026-05-29","passed","2026-05-29","","com.amali.api.GetRequestTest","com.amali.api.GetRequestTest","getAllPostsReturns200"
"Verifies that the DELETE response carries the Access-Control-Allow-Credentials header","64","DELETE /posts/1 response includes CORS header","","2026-05-29","passed","2026-05-29","","com.amali.api.DeleteRequestTest","com.amali.api.DeleteRequestTest","deletePostHasCorsHeader"
"Verifies that Access-Control-Allow-Credentials and X-Content-Type-Options headers are present","64","GET /posts response includes CORS and security headers","","2026-05-29","passed","2026-05-29","","com.amali.api.GetRequestTest","com.amali.api.GetRequestTest","getAllPostsHasSecurityHeaders"
"Verifies that deleting the last seeded post (id=100) returns 200 with an empty body","67","DELETE /posts/100 returns 200 — upper boundary post","","2026-05-29","passed","2026-05-29","","com.amali.api.DeleteRequestTest","com.amali.api.DeleteRequestTest","deleteLastValidPostReturns200"
"Verifies that PATCH merges the supplied title while keeping the original id and body fields intact","93","PATCH /posts/1 updates only the supplied field, preserves others","","2026-05-29","passed","2026-05-29","","com.amali.api.PutRequestTest","com.amali.api.PutRequestTest","patchPostReturns200"
"Verifies that the path parameter ID takes precedence and the response id matches the path, not the body","77","PUT /posts/1 with mismatched ID in body still uses path ID","","2026-05-29","passed","2026-05-29","","com.amali.api.PutRequestTest","com.amali.api.PutRequestTest","updatePostIdMatchesPath"
"Verifies 201 status, echoed payload fields, assigned id=101, and Content-Type header","99","POST /posts creates a new post and returns 201","","2026-05-29","passed","2026-05-29","","com.amali.api.PostRequestTest","com.amali.api.PostRequestTest","createPostReturns201"
